Infinitive,отрасти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отрасти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отрасти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отрасти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отращу́
2nd Sing,отрасти́шь
3rd Sing,отрасти́т
1st Pl,отрасти́м
2nd Pl,отрасти́те
3rd Pl,отрастя́т
Past M,отрасти́л
Past F,отрасти́ла
Past N,отрасти́ло
Past PL,отрасти́ли
Imp S,отрасти́
Imp PL,отрасти́те
