Infinitive,отвеча́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отвеча́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвеча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвеча́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отвеча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отвеча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отвеча́ю
2nd Sing,отвеча́ешь
3rd Sing,отвеча́ет
1st Pl,отвеча́ем
2nd Pl,отвеча́ете
3rd Pl,отвеча́ют
Past M,отвеча́л
Past F,отвеча́ла
Past N,отвеча́ло
Past PL,отвеча́ли
Imp S,отвеча́й
Imp PL,отвеча́йте
