Infinitive,отключа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отключа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отключа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отключа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отключа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отключа́юсь
2nd Sing,отключа́ешься
3rd Sing,отключа́ется
1st Pl,отключа́емся
2nd Pl,отключа́етесь
3rd Pl,отключа́ются
Past M,отключа́лся
Past F,отключа́лась
Past N,отключа́лось
Past PL,отключа́лись
Imp S,отключа́йся
Imp PL,отключа́йтесь
