Infinitive,отдохну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отдохну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отдохну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отдохну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отдохну́
2nd Sing,отдохнёшь
3rd Sing,отдохнёт
1st Pl,отдохнём
2nd Pl,отдохнёте
3rd Pl,отдохну́т
Past M,отдохну́л
Past F,отдохну́ла
Past N,отдохну́ло
Past PL,отдохну́ли
Imp S,отдохни́
Imp PL,отдохни́те
