Infinitive,отверну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отверну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отверну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отверну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отверну́
2nd Sing,отвернёшь
3rd Sing,отвернёт
1st Pl,отвернём
2nd Pl,отвернёте
3rd Pl,отверну́т
Past M,отверну́л
Past F,отверну́ла
Past N,отверну́ло
Past PL,отверну́ли
Imp S,отверни́
Imp PL,отверни́те
