Infinitive,отбега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отбега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отбега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отбега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отбега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отбега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отбега́ю
2nd Sing,отбега́ешь
3rd Sing,отбега́ет
1st Pl,отбега́ем
2nd Pl,отбега́ете
3rd Pl,отбега́ют
Past M,отбега́л
Past F,отбега́ла
Past N,отбега́ло
Past PL,отбега́ли
Imp S,отбега́й
Imp PL,отбега́йте
