Infinitive,отпроси́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отпроси́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпроси́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отпрошу́сь
2nd Sing,отпро́сишься
3rd Sing,отпро́сится
1st Pl,отпро́симся
2nd Pl,отпро́ситесь
3rd Pl,отпро́сятся
Past M,отпроси́лся
Past F,отпроси́лась
Past N,отпроси́лось
Past PL,отпроси́лись
Imp S,отпроси́сь
Imp PL,отпроси́тесь
