Infinitive,откупи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,откупи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,откупи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,откуплю́сь
2nd Sing,отку́пишься
3rd Sing,отку́пится
1st Pl,отку́пимся
2nd Pl,отку́питесь
3rd Pl,отку́пятся
Past M,откупи́лся
Past F,откупи́лась
Past N,откупи́лось
Past PL,откупи́лись
Imp S,откупи́сь
Imp PL,откупи́тесь
