Infinitive,отрапортова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отрапортова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрапорто́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отрапортова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отрапортова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отрапорту́ю
2nd Sing,отрапорту́ешь
3rd Sing,отрапорту́ет
1st Pl,отрапорту́ем
2nd Pl,отрапорту́ете
3rd Pl,отрапорту́ют
Past M,отрапортова́л
Past F,отрапортова́ла
Past N,отрапортова́ло
Past PL,отрапортова́ли
Imp S,отрапорту́й
Imp PL,отрапорту́йте
