Infinitive,отпеча́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпеча́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпеча́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпеча́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отпеча́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпеча́таю
2nd Sing,отпеча́таешь
3rd Sing,отпеча́тает
1st Pl,отпеча́таем
2nd Pl,отпеча́таете
3rd Pl,отпеча́тают
Past M,отпеча́тал
Past F,отпеча́тала
Past N,отпеча́тало
Past PL,отпеча́тали
Imp S,отпеча́тай
Imp PL,отпеча́тайте
