Infinitive,отсыре́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отсыре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсыре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отсыре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отсыре́ю
2nd Sing,отсыре́ешь
3rd Sing,отсыре́ет
1st Pl,отсыре́ем
2nd Pl,отсыре́ете
3rd Pl,отсыре́ют
Past M,отсыре́л
Past F,отсыре́ла
Past N,отсыре́ло
Past PL,отсыре́ли
Imp S,отсыре́й
Imp PL,отсыре́йте
