Infinitive,отме́рять
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отме́рявший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отме́рянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отме́ряв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отме́рявши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отме́ряю
2nd Sing,отме́ряешь
3rd Sing,отме́ряет
1st Pl,отме́ряем
2nd Pl,отме́ряете
3rd Pl,отме́ряют
Past M,отме́рял
Past F,отме́ряла
Past N,отме́ряло
Past PL,отме́ряли
Imp S,отме́ряй
Imp PL,отме́ряйте
