Infinitive,отпили́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпили́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпи́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпили́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отпили́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпилю́
2nd Sing,отпи́лишь
3rd Sing,отпи́лит
1st Pl,отпи́лим
2nd Pl,отпи́лите
3rd Pl,отпи́лят
Past M,отпили́л
Past F,отпили́ла
Past N,отпили́ло
Past PL,отпили́ли
Imp S,отпили́
Imp PL,отпили́те
