Infinitive,отпи́ть
Zaliznyak Class,11*b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́тпитый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отпи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,отпи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отпи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отопью́
2nd Sing,отопьёшь
3rd Sing,отопьёт
1st Pl,отопьём
2nd Pl,отопьёте
3rd Pl,отопью́т
Past M,о́тпил
Past F,отпила́
Past N,о́тпило
Past PL,о́тпили
Imp S,отпе́й
Imp PL,отпе́йте
