Infinitive,отряхну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отряхну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отряхну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отряхну́сь
2nd Sing,отряхнёшься
3rd Sing,отряхнётся
1st Pl,отряхнёмся
2nd Pl,отряхнётесь
3rd Pl,отряхну́тся
Past M,отряхну́лся
Past F,отряхну́лась
Past N,отряхну́лось
Past PL,отряхну́лись
Imp S,отряхни́сь
Imp PL,отряхни́тесь
