Infinitive,отверте́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отверте́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отверте́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отверчу́сь
2nd Sing,отве́ртишься
3rd Sing,отве́ртится
1st Pl,отве́ртимся
2nd Pl,отве́ртитесь
3rd Pl,отве́ртятся
Past M,отверте́лся
Past F,отверте́лась
Past N,отверте́лось
Past PL,отверте́лись
Imp S,отверти́сь
Imp PL,отверти́тесь
