Infinitive,отва́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отва́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отва́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отва́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отва́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отва́ливаюсь
2nd Sing,отва́ливаешься
3rd Sing,отва́ливается
1st Pl,отва́ливаемся
2nd Pl,отва́ливаетесь
3rd Pl,отва́ливаются
Past M,отва́ливался
Past F,отва́ливалась
Past N,отва́ливалось
Past PL,отва́ливались
Imp S,отва́ливайся
Imp PL,отва́ливайтесь
