Infinitive,отпихну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпихну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпи́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпихну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отпихну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпихну́
2nd Sing,отпихнёшь
3rd Sing,отпихнёт
1st Pl,отпихнём
2nd Pl,отпихнёте
3rd Pl,отпихну́т
Past M,отпихну́л
Past F,отпихну́ла
Past N,отпихну́ло
Past PL,отпихну́ли
Imp S,отпихни́
Imp PL,отпихни́те
