Infinitive,отрази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отрази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отражённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отрази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отрази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отражу́
2nd Sing,отрази́шь
3rd Sing,отрази́т
1st Pl,отрази́м
2nd Pl,отрази́те
3rd Pl,отразя́т
Past M,отрази́л
Past F,отрази́ла
Past N,отрази́ло
Past PL,отрази́ли
Imp S,отрази́
Imp PL,отрази́те
