Infinitive,отгора́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отгора́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отгора́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отгора́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отгора́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отгора́живаюсь
2nd Sing,отгора́живаешься
3rd Sing,отгора́живается
1st Pl,отгора́живаемся
2nd Pl,отгора́живаетесь
3rd Pl,отгора́живаются
Past M,отгора́живался
Past F,отгора́живалась
Past N,отгора́живалось
Past PL,отгора́живались
Imp S,отгора́живайся
Imp PL,отгора́живайтесь
