Infinitive,отгороди́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отгороди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отгоро́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отгороди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отгороди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отгорожу́
2nd Sing,отгоро́дишь
3rd Sing,отгоро́дит
1st Pl,отгоро́дим
2nd Pl,отгоро́дите
3rd Pl,отгоро́дят
Past M,отгороди́л
Past F,отгороди́ла
Past N,отгороди́ло
Past PL,отгороди́ли
Imp S,отгороди́
Imp PL,отгороди́те
