Infinitive,оттяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оттяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оття́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оттяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оттяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оттяну́
2nd Sing,оття́нешь
3rd Sing,оття́нет
1st Pl,оття́нем
2nd Pl,оття́нете
3rd Pl,оття́нут
Past M,оттяну́л
Past F,оттяну́ла
Past N,оттяну́ло
Past PL,оттяну́ли
Imp S,оттяни́
Imp PL,оттяни́те
