Infinitive,отстрели́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отстрели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отстре́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отстрели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отстрели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отстрелю́
2nd Sing,отстре́лишь
3rd Sing,отстре́лит
1st Pl,отстре́лим
2nd Pl,отстре́лите
3rd Pl,отстре́лят
Past M,отстрели́л
Past F,отстрели́ла
Past N,отстрели́ло
Past PL,отстрели́ли
Imp S,отстрели́
Imp PL,отстрели́те
