Infinitive,отвоева́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отвоева́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвоева́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отвою́юсь
2nd Sing,отвою́ешься
3rd Sing,отвою́ется
1st Pl,отвою́емся
2nd Pl,отвою́етесь
3rd Pl,отвою́ются
Past M,отвоева́лся
Past F,отвоева́лась
Past N,отвоева́лось
Past PL,отвоева́лись
Imp S,отвою́йся
Imp PL,отвою́йтесь
