Infinitive,отчека́нить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отчека́нивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отчека́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отчека́нив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отчека́нивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отчека́ню
2nd Sing,отчека́нишь
3rd Sing,отчека́нит
1st Pl,отчека́ним
2nd Pl,отчека́ните
3rd Pl,отчека́нят
Past M,отчека́нил
Past F,отчека́нила
Past N,отчека́нило
Past PL,отчека́нили
Imp S,отчека́нь
Imp PL,отчека́ньте
