Infinitive,отрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отрыва́юсь
2nd Sing,отрыва́ешься
3rd Sing,отрыва́ется
1st Pl,отрыва́емся
2nd Pl,отрыва́етесь
3rd Pl,отрыва́ются
Past M,отрыва́лся
Past F,отрыва́лась
Past N,отрыва́лось
Past PL,отрыва́лись
Imp S,отрыва́йся
Imp PL,отрыва́йтесь
