Infinitive,отличи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отличи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отличи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отличу́сь
2nd Sing,отличи́шься
3rd Sing,отличи́тся
1st Pl,отличи́мся
2nd Pl,отличи́тесь
3rd Pl,отлича́тся
Past M,отличи́лся
Past F,отличи́лась
Past N,отличи́лось
Past PL,отличи́лись
Imp S,отличи́сь
Imp PL,отличи́тесь
