Infinitive,отцвета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отцвета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отцвета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отцвета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отцвета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отцвета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отцвета́ю
2nd Sing,отцвета́ешь
3rd Sing,отцвета́ет
1st Pl,отцвета́ем
2nd Pl,отцвета́ете
3rd Pl,отцвета́ют
Past M,отцвета́л
Past F,отцвета́ла
Past N,отцвета́ло
Past PL,отцвета́ли
Imp S,отцвета́й
Imp PL,отцвета́йте
