Infinitive,отмести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отмётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отметённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отметя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отмётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отмету́
2nd Sing,отметёшь
3rd Sing,отметёт
1st Pl,отметём
2nd Pl,отметёте
3rd Pl,отмету́т
Past M,отмёл
Past F,отмела́
Past N,отмело́
Past PL,отмели́
Imp S,отмети́
Imp PL,отмети́те
