Infinitive,откати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,откати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отка́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,откати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,откати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,откачу́
2nd Sing,отка́тишь
3rd Sing,отка́тит
1st Pl,отка́тим
2nd Pl,отка́тите
3rd Pl,отка́тят
Past M,откати́л
Past F,откати́ла
Past N,откати́ло
Past PL,откати́ли
Imp S,откати́
Imp PL,откати́те
