Infinitive,отлучи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отлучи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отлучи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отлучу́сь
2nd Sing,отлучи́шься
3rd Sing,отлучи́тся
1st Pl,отлучи́мся
2nd Pl,отлучи́тесь
3rd Pl,отлуча́тся
Past M,отлучи́лся
Past F,отлучи́лась
Past N,отлучи́лось
Past PL,отлучи́лись
Imp S,отлучи́сь
Imp PL,отлучи́тесь
