Infinitive,откуси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,откуси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отку́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,откуси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,откуси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,откушу́
2nd Sing,отку́сишь
3rd Sing,отку́сит
1st Pl,отку́сим
2nd Pl,отку́сите
3rd Pl,отку́сят
Past M,откуси́л
Past F,откуси́ла
Past N,откуси́ло
Past PL,откуси́ли
Imp S,откуси́
Imp PL,откуси́те
