Infinitive,отлучи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отлучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отлучённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отлучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отлучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отлучу́
2nd Sing,отлучи́шь
3rd Sing,отлучи́т
1st Pl,отлучи́м
2nd Pl,отлучи́те
3rd Pl,отлуча́т
Past M,отлучи́л
Past F,отлучи́ла
Past N,отлучи́ло
Past PL,отлучи́ли
Imp S,отлучи́
Imp PL,отлучи́те
