Infinitive,отша́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отша́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отша́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отша́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отша́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отша́тываюсь
2nd Sing,отша́тываешься
3rd Sing,отша́тывается
1st Pl,отша́тываемся
2nd Pl,отша́тываетесь
3rd Pl,отша́тываются
Past M,отша́тывался
Past F,отша́тывалась
Past N,отша́тывалось
Past PL,отша́тывались
Imp S,отша́тывайся
Imp PL,отша́тывайтесь
