Infinitive,обли́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обли́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обли́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обли́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обли́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обли́зываюсь
2nd Sing,обли́зываешься
3rd Sing,обли́зывается
1st Pl,обли́зываемся
2nd Pl,обли́зываетесь
3rd Pl,обли́зываются
Past M,обли́зывался
Past F,обли́зывалась
Past N,обли́зывалось
Past PL,обли́зывались
Imp S,обли́зывайся
Imp PL,обли́зывайтесь
