Infinitive,обнажи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обнажи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнажённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнажи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обнажи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обнажу́
2nd Sing,обнажи́шь
3rd Sing,обнажи́т
1st Pl,обнажи́м
2nd Pl,обнажи́те
3rd Pl,обнажа́т
Past M,обнажи́л
Past F,обнажи́ла
Past N,обнажи́ло
Past PL,обнажи́ли
Imp S,обнажи́
Imp PL,обнажи́те
