Infinitive,обозна́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обозна́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обозна́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обозна́юсь
2nd Sing,обозна́ешься
3rd Sing,обозна́ется
1st Pl,обозна́емся
2nd Pl,обозна́етесь
3rd Pl,обозна́ются
Past M,обозна́лся
Past F,обозна́лась
Past N,обозна́лось
Past PL,обозна́лись
Imp S,обозна́йся
Imp PL,обозна́йтесь
