Infinitive,обмота́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обмота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обмо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обмота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обмота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обмота́ю
2nd Sing,обмота́ешь
3rd Sing,обмота́ет
1st Pl,обмота́ем
2nd Pl,обмота́ете
3rd Pl,обмота́ют
Past M,обмота́л
Past F,обмота́ла
Past N,обмота́ло
Past PL,обмота́ли
Imp S,обмота́й
Imp PL,обмота́йте
