Infinitive,обезобра́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обезобра́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обезобра́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обезобра́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обезобра́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обезобра́жу
2nd Sing,обезобра́зишь
3rd Sing,обезобра́зит
1st Pl,обезобра́зим
2nd Pl,обезобра́зите
3rd Pl,обезобра́зят
Past M,обезобра́зил
Past F,обезобра́зила
Past N,обезобра́зило
Past PL,обезобра́зили
Imp S,обезобра́зь
Imp PL,обезобра́зьте
