Infinitive,обли́ться
Zaliznyak Class,11*b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оболью́сь
2nd Sing,обольёшься
3rd Sing,обольётся
1st Pl,обольёмся
2nd Pl,обольётесь
3rd Pl,оболью́тся
Past M,обли́лся
Past F,облила́сь
Past N,облило́сь
Past PL,облили́сь
Imp S,обле́йся
Imp PL,обле́йтесь
