Infinitive,образова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,образова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,образова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,образу́юсь
2nd Sing,образу́ешься
3rd Sing,образу́ется
1st Pl,образу́емся
2nd Pl,образу́етесь
3rd Pl,образу́ются
Past M,образова́лся
Past F,образова́лась
Past N,образова́лось
Past PL,образова́лись
Imp S,образу́йся
Imp PL,образу́йтесь
