Infinitive,обри́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обри́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обре́ю
2nd Sing,обре́ешь
3rd Sing,обре́ет
1st Pl,обре́ем
2nd Pl,обре́ете
3rd Pl,обре́ют
Past M,обри́л
Past F,обри́ла
Past N,обри́ло
Past PL,обри́ли
Imp S,обре́й
Imp PL,обре́йте
