Infinitive,обезгла́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обезгла́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обезгла́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обезгла́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обезгла́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обезгла́влю
2nd Sing,обезгла́вишь
3rd Sing,обезгла́вит
1st Pl,обезгла́вим
2nd Pl,обезгла́вите
3rd Pl,обезгла́вят
Past M,обезгла́вил
Past F,обезгла́вила
Past N,обезгла́вило
Past PL,обезгла́вили
Imp S,обезгла́вь
Imp PL,обезгла́вьте
