Infinitive,обста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обста́влю
2nd Sing,обста́вишь
3rd Sing,обста́вит
1st Pl,обста́вим
2nd Pl,обста́вите
3rd Pl,обста́вят
Past M,обста́вил
Past F,обста́вила
Past N,обста́вило
Past PL,обста́вили
Imp S,обста́вь
Imp PL,обста́вьте
