Infinitive,обороня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обороня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обороня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обороня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обороня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обороня́юсь
2nd Sing,обороня́ешься
3rd Sing,обороня́ется
1st Pl,обороня́емся
2nd Pl,обороня́етесь
3rd Pl,обороня́ются
Past M,обороня́лся
Past F,обороня́лась
Past N,обороня́лось
Past PL,обороня́лись
Imp S,обороня́йся
Imp PL,обороня́йтесь
