Infinitive,обледене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обледене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обледене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обледене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обледене́ю
2nd Sing,обледене́ешь
3rd Sing,обледене́ет
1st Pl,обледене́ем
2nd Pl,обледене́ете
3rd Pl,обледене́ют
Past M,обледене́л
Past F,обледене́ла
Past N,обледене́ло
Past PL,обледене́ли
Imp S,обледене́й
Imp PL,обледене́йте
