Infinitive,обогна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обогна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обо́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обогна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обогна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обгоню́
2nd Sing,обго́нишь
3rd Sing,обго́нит
1st Pl,обго́ним
2nd Pl,обго́ните
3rd Pl,обго́нят
Past M,обогна́л
Past F,обогнала́
Past N,обогна́ло
Past PL,обогна́ли
Imp S,обгони́
Imp PL,обгони́те
