Infinitive,объяви́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,объяви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объяви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,объявлю́сь
2nd Sing,объя́вишься
3rd Sing,объя́вится
1st Pl,объя́вимся
2nd Pl,объя́витесь
3rd Pl,объя́вятся
Past M,объяви́лся
Past F,объяви́лась
Past N,объяви́лось
Past PL,объяви́лись
Imp S,объяви́сь
Imp PL,объяви́тесь
