Infinitive,обора́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обора́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обора́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обора́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обора́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обора́чиваюсь
2nd Sing,обора́чиваешься
3rd Sing,обора́чивается
1st Pl,обора́чиваемся
2nd Pl,обора́чиваетесь
3rd Pl,обора́чиваются
Past M,обора́чивался
Past F,обора́чивалась
Past N,обора́чивалось
Past PL,обора́чивались
Imp S,обора́чивайся
Imp PL,обора́чивайтесь
