Infinitive,обогну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обогну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обо́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обогну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обогну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обогну́
2nd Sing,обогнёшь
3rd Sing,обогнёт
1st Pl,обогнём
2nd Pl,обогнёте
3rd Pl,обогну́т
Past M,обогну́л
Past F,обогну́ла
Past N,обогну́ло
Past PL,обогну́ли
Imp S,обогни́
Imp PL,обогни́те
