Infinitive,обве́трить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обве́тривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обве́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обве́трив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обве́тривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обве́трю
2nd Sing,обве́тришь
3rd Sing,обве́трит
1st Pl,обве́трим
2nd Pl,обве́трите
3rd Pl,обве́трят
Past M,обве́трил
Past F,обве́трила
Past N,обве́трило
Past PL,обве́трили
Imp S,обве́три
Imp PL,обве́трите
