Infinitive,обмере́ть
Zaliznyak Class,9*b/c①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обме́рший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,о́бмерший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обмере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обме́рши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обомру́
2nd Sing,обомрёшь
3rd Sing,обомрёт
1st Pl,обомрём
2nd Pl,обомрёте
3rd Pl,обомру́т
Past M,о́бмер
Past F,обмерла́
Past N,о́бмерло
Past PL,о́бмерли
Imp S,обомри́
Imp PL,обомри́те
