Infinitive,обже́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обжёгшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обжёгшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обожгу́сь
2nd Sing,обожжёшься
3rd Sing,обожжётся
1st Pl,обожжёмся
2nd Pl,обожжётесь
3rd Pl,обожгу́тся
Past M,обжёгся
Past F,обожгла́сь
Past N,обожгло́сь
Past PL,обожгли́сь
Imp S,обожги́сь
Imp PL,обожги́тесь
