Infinitive,обнима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обнима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обнима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обнима́юсь
2nd Sing,обнима́ешься
3rd Sing,обнима́ется
1st Pl,обнима́емся
2nd Pl,обнима́етесь
3rd Pl,обнима́ются
Past M,обнима́лся
Past F,обнима́лась
Past N,обнима́лось
Past PL,обнима́лись
Imp S,обнима́йся
Imp PL,обнима́йтесь
