Infinitive,обогати́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обогати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обогащённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обогати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обогати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обогащу́
2nd Sing,обогати́шь
3rd Sing,обогати́т
1st Pl,обогати́м
2nd Pl,обогати́те
3rd Pl,обогатя́т
Past M,обогати́л
Past F,обогати́ла
Past N,обогати́ло
Past PL,обогати́ли
Imp S,обогати́
Imp PL,обогати́те
