Infinitive,облокоти́ться
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,облокоти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облокоти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,облокочу́сь
2nd Sing,облоко́тишься
3rd Sing,облоко́тится
1st Pl,облоко́тимся
2nd Pl,облоко́титесь
3rd Pl,облоко́тятся
Past M,облокоти́лся
Past F,облокоти́лась
Past N,облокоти́лось
Past PL,облокоти́лись
Imp S,облокоти́сь
Imp PL,облокоти́тесь
