Infinitive,обрисова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обрисова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обрисо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обрисова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обрисова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обрису́ю
2nd Sing,обрису́ешь
3rd Sing,обрису́ет
1st Pl,обрису́ем
2nd Pl,обрису́ете
3rd Pl,обрису́ют
Past M,обрисова́л
Past F,обрисова́ла
Past N,обрисова́ло
Past PL,обрисова́ли
Imp S,обрису́й
Imp PL,обрису́йте
