Infinitive,объявля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,объявля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,объявля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,объявля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,объявля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,объявля́юсь
2nd Sing,объявля́ешься
3rd Sing,объявля́ется
1st Pl,объявля́емся
2nd Pl,объявля́етесь
3rd Pl,объявля́ются
Past M,объявля́лся
Past F,объявля́лась
Past N,объявля́лось
Past PL,объявля́лись
Imp S,объявля́йся
Imp PL,объявля́йтесь
