Infinitive,обобра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обобра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обо́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обобра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обобра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оберу́
2nd Sing,оберёшь
3rd Sing,оберёт
1st Pl,оберём
2nd Pl,оберёте
3rd Pl,оберу́т
Past M,обобра́л
Past F,обобрала́
Past N,обобра́ло
Past PL,обобра́ли
Imp S,обери́
Imp PL,обери́те
