Infinitive,обя́зывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обя́зывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,обязу́ющий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,обя́зывавший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,обя́зываемый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,short
PART:4:Participle Text,обязу́емый
PART:4:Participle Type,passive
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,обя́зывая
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,short
PART:6:Participle Text,обязу́я
PART:6:Participle Type,adverbial
PART:6:Participle Tense,present
PART:6:Participle Long or Short,long
PART:7:Participle Text,обя́зывав
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,short
PART:8:Participle Text,обя́зывавши
PART:8:Participle Type,adverbial
PART:8:Participle Tense,past
PART:8:Participle Long or Short,long
1st Sing,обя́зываю
2nd Sing,обя́зываешь
3rd Sing,обя́зывает
1st Pl,обя́зываем
2nd Pl,обя́зываете
3rd Pl,обя́зывают
Past M,обя́зывал
Past F,обя́зывала
Past N,обя́зывало
Past PL,обя́зывали
Imp S,обя́зывай
Imp PL,обя́зывайте
