Infinitive,обнести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обнёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обнёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обнесу́
2nd Sing,обнесёшь
3rd Sing,обнесёт
1st Pl,обнесём
2nd Pl,обнесёте
3rd Pl,обнесу́т
Past M,обнёс
Past F,обнесла́
Past N,обнесло́
Past PL,обнесли́
Imp S,обнеси́
Imp PL,обнеси́те
