Infinitive,облете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,облете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,облечу́
2nd Sing,облети́шь
3rd Sing,облети́т
1st Pl,облети́м
2nd Pl,облети́те
3rd Pl,облетя́т
Past M,облете́л
Past F,облете́ла
Past N,облете́ло
Past PL,облете́ли
Imp S,облети́
Imp PL,облети́те
