Infinitive,обу́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обу́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обу́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обу́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обу́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обу́ю
2nd Sing,обу́ешь
3rd Sing,обу́ет
1st Pl,обу́ем
2nd Pl,обу́ете
3rd Pl,обу́ют
Past M,обу́л
Past F,обу́ла
Past N,обу́ло
Past PL,обу́ли
Imp S,обу́й
Imp PL,обу́йте
