Infinitive,обману́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обману́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обману́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обману́сь
2nd Sing,обма́нешься
3rd Sing,обма́нется
1st Pl,обма́немся
2nd Pl,обма́нетесь
3rd Pl,обма́нутся
Past M,обману́лся
Past F,обману́лась
Past N,обману́лось
Past PL,обману́лись
Imp S,обмани́сь
Imp PL,обмани́тесь
